yearID,lgID,teamID,divID,Rank,G,W,L,DivWin,WCWin,LgWin,WSWin,R,PA,AB,H,2B,3B,HR,TB,BB,SO,SB,CS,SB%,HBP,SF,AVG,OBP,SLG,OPS,RA,ER,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,DP,franchName
2011,AL,TOR,E,4,162,81,81,N,N,N,N,743,6179,5559,1384,285,34,186,2295,525,1184,131,52,0.715846995,48,47,0.248965641,0.316717916,0.412844037,0.729561952,761,700,4.32,7,10,33,1433,179,540,1169,148,Toronto Blue Jays
2011,NL,WAS,E,3,161,80,81,N,N,N,N,624,6008,5441,1319,257,22,154,2082,470,1323,106,38,0.736111111,65,32,0.242418673,0.308588549,0.382650248,0.691238797,643,577,3.58,3,10,49,1403,129,477,1049,145,Washington Nationals
2012,NL,ARI,W,3,162,81,81,N,N,N,N,734,6087,5462,1416,307,33,165,2284,539,1266,93,51,0.645833333,41,45,0.259245698,0.327911943,0.418161845,0.746073789,688,626,3.93,4,9,39,1432,155,417,1200,146,Arizona Diamondbacks
2012,NL,ATL,E,2,162,94,68,N,Y,N,N,700,6072,5425,1341,263,30,149,2111,567,1289,101,32,0.759398496,34,46,0.24718894,0.319828722,0.389124424,0.708953146,600,549,3.42,5,16,47,1310,145,464,1232,147,Atlanta Braves
2012,AL,BAL,E,2,162,93,69,N,Y,N,N,712,6120,5560,1375,270,16,214,2319,480,1315,58,29,0.666666667,50,30,0.247302158,0.31127451,0.417086331,0.728360841,705,642,3.9,1,10,55,1433,184,481,1177,151,Baltimore Orioles
2012,AL,BOS,E,5,162,69,93,N,N,N,N,734,6132,5604,1459,339,16,165,2325,428,1197,97,31,0.7578125,45,55,0.26034975,0.315068493,0.414882227,0.72995072,806,754,4.7,6,4,35,1449,190,529,1176,159,Boston Red Sox
2012,AL,CHW,C,2,162,85,77,N,N,N,N,748,6080,5518,1409,228,29,211,2328,461,1203,109,43,0.717105263,65,36,0.25534614,0.318256579,0.42189199,0.740148569,676,646,4.02,6,11,37,1365,186,503,1246,154,Chicago White Sox
2012,NL,CHC,C,5,162,61,101,N,N,N,N,613,5925,5411,1297,265,36,137,2045,447,1235,94,45,0.676258993,43,24,0.239696914,0.301603376,0.377933838,0.679537214,759,708,4.51,1,9,28,1399,175,573,1128,148,Chicago Cubs
2012,NL,CIN,C,1,162,97,65,Y,N,N,N,669,6042,5477,1377,296,30,172,2249,481,1266,87,27,0.763157895,47,37,0.251415008,0.315292949,0.410626255,0.725919205,588,540,3.34,9,12,56,1356,152,427,1248,113,Cincinnati Reds
2012,AL,CLE,C,4,162,68,94,N,N,N,N,667,6178,5525,1385,266,24,136,2107,555,1087,110,44,0.714285714,59,39,0.250678733,0.323567498,0.381357466,0.704924964,845,766,4.78,2,6,43,1503,174,543,1086,157,Cleveland Indians
2012,NL,COL,W,5,162,64,98,N,N,N,N,758,6102,5577,1526,306,52,166,2434,450,1213,100,40,0.714285714,36,39,0.273623812,0.329727958,0.43643536,0.766163318,890,824,5.22,0,7,36,1637,198,566,1144,139,Colorado Rockies
2012,AL,DET,C,1,162,88,74,Y,N,Y,N,726,6083,5476,1467,279,39,163,2313,511,1103,59,23,0.719512195,57,39,0.267896275,0.334538879,0.422388605,0.756927484,670,596,3.75,9,8,40,1409,151,438,1318,127,Detroit Tigers
2012,NL,HOU,C,6,162,55,107,N,N,N,N,583,5958,5407,1276,238,28,146,2008,463,1365,105,46,0.695364238,58,30,0.235990383,0.301611279,0.371370446,0.672981725,794,721,4.56,3,11,31,1493,173,540,1170,132,Houston Astros
2012,AL,KCR,C,3,162,72,90,N,N,N,N,676,6123,5636,1492,295,37,131,2254,404,1032,132,38,0.776470588,42,41,0.264726757,0.316511514,0.399929028,0.716440542,746,693,4.3,2,12,44,1504,163,542,1177,171,Kansas City Royals
2012,AL,LAA,W,3,162,89,73,N,N,N,N,767,6073,5536,1518,273,22,187,2396,449,1113,134,33,0.80239521,47,41,0.274205202,0.331631813,0.432803468,0.764435281,699,640,4.02,6,16,38,1339,186,483,1157,141,Los Angeles Angels
2012,NL,LAD,W,2,162,86,76,N,N,N,N,637,6009,5438,1369,269,23,116,2032,481,1156,104,44,0.702702703,52,38,0.251746966,0.316525212,0.373666789,0.690192001,597,538,3.34,2,10,40,1277,122,539,1276,138,Los Angeles Dodgers
2012,NL,MIA,E,5,162,69,93,N,N,N,N,609,5996,5437,1327,261,39,137,2077,484,1228,149,41,0.784210526,35,40,0.24406842,0.307871915,0.382012139,0.689884054,724,655,4.09,5,7,38,1448,133,495,1113,154,Miami Marlins
2012,NL,MIL,C,3,162,83,79,N,N,N,N,776,6148,5557,1442,300,39,202,2426,466,1240,158,39,0.802030457,90,35,0.259492532,0.324983735,0.436566493,0.761550227,733,682,4.22,0,9,44,1458,169,525,1402,133,Milwaukee Brewers
2012,AL,MIN,C,5,162,66,96,N,N,N,N,701,6176,5562,1448,270,30,131,2171,505,1069,135,37,0.784883721,53,56,0.260338008,0.324805699,0.39032722,0.71513292,832,762,4.77,3,6,35,1536,198,465,943,188,Minnesota Twins
2012,AL,NYY,E,1,162,95,67,Y,N,N,N,804,6200,5524,1462,280,13,245,2503,565,1176,93,27,0.775,62,49,0.264663287,0.336935484,0.453113686,0.79004917,668,617,3.84,6,9,51,1401,190,431,1318,135,New York Yankees
2012,NL,NYM,E,4,162,74,88,N,N,N,N,650,6025,5450,1357,286,21,139,2102,503,1250,79,38,0.675213675,42,30,0.248990826,0.315684647,0.385688073,0.701372721,709,651,4.09,7,13,36,1368,161,488,1240,135,New York Mets
2012,AL,OAK,W,1,162,94,68,Y,N,N,N,713,6156,5527,1315,267,32,195,2231,550,1387,122,32,0.792207792,45,34,0.237922924,0.310266407,0.403654786,0.713921192,614,569,3.48,1,13,47,1360,147,462,1136,135,Oakland Athletics
2012,NL,PHI,E,3,162,81,81,N,N,N,N,684,6100,5544,1414,271,28,158,2215,454,1094,116,23,0.834532374,63,39,0.255050505,0.316557377,0.399531025,0.716088402,680,618,3.83,5,11,42,1387,178,409,1385,118,Philadelphia Phillies
2012,NL,PIT,C,4,162,79,83,N,N,N,N,651,5952,5412,1313,241,37,170,2138,444,1354,73,52,0.584,51,45,0.242609017,0.303763441,0.395048041,0.698811482,674,615,3.86,2,10,45,1357,153,490,1192,126,Pittsburgh Pirates
2012,NL,SDP,W,4,162,76,86,N,N,N,N,651,6049,5422,1339,272,43,121,2060,539,1238,155,46,0.771144279,54,34,0.246956842,0.319391635,0.379933604,0.699325239,710,640,4.01,4,11,43,1356,162,539,1205,97,San Diego Padres
2012,AL,SEA,W,4,162,75,87,N,N,N,N,619,6025,5494,1285,241,27,149,2027,466,1259,104,35,0.748201439,30,35,0.233891518,0.29560166,0.368947943,0.664549603,651,608,3.76,8,11,43,1359,166,449,1166,155,Seattle Mariners
2012,NL,SFG,W,1,162,94,68,Y,N,Y,Y,718,6131,5558,1495,287,57,103,2205,483,1097,118,39,0.751592357,29,61,0.268981648,0.327352797,0.396725441,0.724078238,649,593,3.68,5,14,53,1361,142,489,1237,134,San Francisco Giants
2012,NL,STL,C,2,162,88,74,N,Y,N,N,765,6257,5622,1526,290,37,159,2367,533,1192,91,37,0.7109375,53,49,0.271433654,0.337541953,0.421024546,0.758566499,648,603,3.71,4,10,42,1420,134,436,1218,149,St. Louis Cardinals
2012,AL,TBR,E,3,162,90,72,N,N,N,N,697,6069,5398,1293,250,30,175,2128,571,1323,134,44,0.752808989,58,42,0.23953316,0.316691382,0.394220082,0.710911464,577,518,3.19,7,15,50,1233,139,469,1383,155,Tampa Bay Rays
2012,AL,TEX,W,2,162,93,69,N,Y,N,N,808,6178,5590,1526,303,32,200,2493,478,1103,91,44,0.674074074,57,53,0.272987478,0.333603108,0.445974955,0.779578063,707,639,3.99,7,10,43,1378,175,446,1286,136,Texas Rangers
2012,AL,TOR,E,4,162,73,89,N,N,N,N,716,6060,5487,1346,247,22,198,2231,473,1251,123,41,0.75,55,45,0.245307089,0.309240924,0.406597412,0.715838336,784,745,4.64,5,11,29,1439,204,574,1142,167,Toronto Blue Jays
2012,NL,WAS,E,1,162,98,64,Y,N,N,N,731,6171,5615,1468,301,25,194,2401,479,1325,105,35,0.75,41,36,0.261442565,0.322152001,0.42760463,0.749756632,594,543,3.33,3,9,51,1296,129,497,1325,134,Washington Nationals
