yearID,lgID,teamID,Rank,W,L,WSWin,R,H,2B,3B,HR,TB,BB,SO,SB,CS,SB%,HBP,SF,AVG,OBP,SLG,OPS,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,franchName
2013,NL,MIL,4,74,88,N,640,1381,238,43,157,2176,407,1183,142,50,0.739583333,71,35,0.252283522,0.310506097,0.397515528,0.708021624,687,3.84,4,15,40,1401,175,466,1125,Milwaukee Brewers
2013,AL,MIN,4,66,96,N,614,1346,285,15,151,2114,533,1430,52,33,0.611764706,52,32,0.241912293,0.312408995,0.379942487,0.692351483,788,4.55,1,7,40,1591,168,458,985,Minnesota Twins
2013,AL,NYY,4,85,77,N,650,1321,247,24,144,2048,466,1214,115,31,0.787671233,57,36,0.242429804,0.306924101,0.37584878,0.682772881,671,3.94,7,10,49,1452,171,437,1233,New York Yankees
2013,NL,NYM,4,74,88,N,619,1318,263,32,130,2035,512,1384,114,35,0.765100671,51,32,0.237093002,0.305654859,0.366073035,0.671727893,684,3.77,4,10,40,1442,152,458,1209,New York Mets
2013,AL,OAK,1,96,66,N,767,1403,301,25,186,2312,573,1178,74,28,0.725490196,45,49,0.25412063,0.326599871,0.418764717,0.745364587,625,3.56,6,13,46,1339,163,428,1183,Oakland Athletics
2013,NL,PHI,4,73,89,N,610,1355,255,32,140,2094,417,1205,73,29,0.715686275,53,31,0.24835044,0.306362263,0.383797654,0.690159917,749,4.32,6,3,32,1465,152,506,1199,Philadelphia Phillies
2013,NL,PIT,2,94,68,N,634,1346,273,35,161,2172,469,1330,94,42,0.691176471,88,29,0.245351805,0.313405797,0.395916879,0.709322676,577,3.26,3,16,55,1299,101,515,1261,Pittsburgh Pirates
2013,NL,SDP,3,76,86,N,618,1349,246,26,146,2085,467,1309,118,34,0.776315789,52,34,0.244516948,0.307742998,0.377922784,0.685665782,700,3.98,3,6,40,1407,156,525,1171,San Diego Padres
2013,AL,SEA,4,71,91,N,624,1318,249,17,188,2165,529,1353,49,23,0.680555556,31,28,0.23713566,0.305564595,0.389528607,0.695093202,754,4.31,4,14,43,1467,174,478,1297,Seattle Mariners
2013,NL,SFG,4,76,86,N,629,1446,280,35,107,2117,469,1078,67,26,0.720430108,39,42,0.260446686,0.320222878,0.381304035,0.701526912,691,4,2,13,41,1380,145,521,1256,San Francisco Giants
